timestamp,doc_id,page,stage,model,prompt_tokens,completion_tokens,total_tokens,cost_usd
2025-08-14T17:28:06,AUtZzWSkzhLBmjUVDySsMWQKO1gitbcF0YlcxetEg77a2oHroÉpfoSEVÁQKFPuÁBOzb92É6UelpWeR4GAZvSA90=,1,extract,,3590,240,3830,0.011375
2025-08-14T17:28:34,AUtZzWSkzhLBmjUVDySsMWQKO1gitbcF0YlcxetEg77a2oHroÉpfoSEVÁQKFPuÁBOzb92É6UelpWeR4GAZvSA90=,2,extract,,3706,357,4063,0.012835000000000001
2025-08-14T17:29:50,AUtZzWSkzhLBmjUVDySsMWQKO1gitbcF0YlcxetEg77a2oHroÉpfoSEVÁQKFPuÁBOzb92É6UelpWeR4GAZvSA90=,3,extract,,3706,1739,5445,0.026655000000000005
2025-08-14T17:30:59,AUtZzWSkzhLBmjUVDySsMWQKO1gitbcF0YlcxetEg77a2oHroÉpfoSEVÁQKFPuÁBOzb92É6UelpWeR4GAZvSA90=,4,extract,,3705,1527,5232,0.0245325
2025-08-14T17:32:23,AUtZzWSkzhLBmjUVDySsMWQKO1gitbcF0YlcxetEg77a2oHroÉpfoSEVÁQKFPuÁBOzb92É6UelpWeR4GAZvSA90=,5,extract,,3680,2479,6159,0.033990000000000006
2025-08-14T17:32:42,AUtZzWSkzhLBmjUVDySsMWQKO1gitbcF0YlcxetEg77a2oHroÉpfoSEVÁQKFPuÁBOzb92É6UelpWeR4GAZvSA90=,6,extract,,3523,226,3749,0.011067500000000001
2025-08-14T17:33:01,AUzogfi87ESGLTyA2Ému77lMMx6DwkkYmh3801q1bJOMraoFPzvR66Ésd47H0kkIDqJA7WCZvÁm2MWÉ1tRJ13L0=,1,extract,,3598,263,3861,0.011625
2025-08-14T17:33:36,AUzogfi87ESGLTyA2Ému77lMMx6DwkkYmh3801q1bJOMraoFPzvR66Ésd47H0kkIDqJA7WCZvÁm2MWÉ1tRJ13L0=,2,extract,,3702,713,4415,0.016385
2025-08-14T17:34:31,AUzogfi87ESGLTyA2Ému77lMMx6DwkkYmh3801q1bJOMraoFPzvR66Ésd47H0kkIDqJA7WCZvÁm2MWÉ1tRJ13L0=,3,extract,,3719,1632,5351,0.025617499999999998
2025-08-14T17:35:44,AUzogfi87ESGLTyA2Ému77lMMx6DwkkYmh3801q1bJOMraoFPzvR66Ésd47H0kkIDqJA7WCZvÁm2MWÉ1tRJ13L0=,4,extract,,3719,1788,5507,0.0271775
2025-08-14T17:36:09,AUzogfi87ESGLTyA2Ému77lMMx6DwkkYmh3801q1bJOMraoFPzvR66Ésd47H0kkIDqJA7WCZvÁm2MWÉ1tRJ13L0=,5,extract,,3632,593,4225,0.01501
2025-08-14T17:36:19,AUzogfi87ESGLTyA2Ému77lMMx6DwkkYmh3801q1bJOMraoFPzvR66Ésd47H0kkIDqJA7WCZvÁm2MWÉ1tRJ13L0=,6,extract,,3461,97,3558,0.0096225
